w4_id1	w4_id2	w4_id3	w4_id4	w4_ind1	w4_team	w4_posit	w401_01	w401_02	w402_01	w402_02	w403_01	w403_02	w404	w405_01	w405_02	w406_01	w406_02	w406_03	w406_04	w406_05	w406_06	w406_07	w406_08	w407	w408_01	w408_02	w408_03	w408_04	w408_05	w408_06	w408_07	w408_08	w408_09	w408_10	w408_11	w408_12	w408_13	w408_14	w408_15	w409_01	w409_02	w409_03	w409_04	w409_05	w409_06	w409_07	w409_08	w410_01	w410_02	w411_01	w411_02	w411_03	w411_04	w411_05	w411_06	w411_07	w411_08	w411_09	w411_10	w411_11	w411_12	w411_13	w411_14	w412	w413_01	w413_02	w413_03	w413_04	w413_05	w413_06	w414_01	w414_02	w414_03	w414_04	w414_05	w414_06	w414_07	w414_08	w414_09	w414_10	w414_11	w414_12	w414_13	w414_14	w414_15	w414_16	w414_17	w414_18	w414_19	w414_20	w414_21	w414_22	w414_23	w414_24	w415_01	w415_02	w415_03	w415_04	w415_05	w415_06	w415_07	w415_08	w416	w417	w418_01	w418_02	w419	w420_01	w420_02	w420_03	w420_04	w420_05	w420_06	w420_07	w421	w422	w423	w424_01	w424_02	w424_03	w424_04	w424_05	w424_06	w425_01	w425_02	w425_03	w425_04	w425_05	w425_06	w425_07	w425_08	w426_01	w426_02	w426_03	w427_01	w427_02	w427_03	w427_04	w427_05	w427_06	w428_01	w428_02	w428_03	w428_04	w428_05	w428_06	w428_07	w428_08	w428_09	w428_10	w428_11	w428_12	w429_01	w429_02	w429_03	w429_04	w430_01	w430_02	w430_03	w430_04	w430_05	w430_06	w430_07	w431_01	w431_02	w431_03	w431_04	w432_01	w432_02	w432_03	w432_04	w432_05	w432_06	w433	w434	w435	w436_01	w436_02	w437_01	w437_02	w4_sex	w4_birthy	w4_birthm	w4_marr	w4_edu	w4_affil
1242	0	401	10	1	1	3	2004	6	2011	3	1	4	401	2008	8	4	4	3	3	3	2	3	3																									4	2	1	3	1	3	2		2		2		2		2		4	3	3	3	3	2	3	2	2	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		4				2								2	1	1															4	4	4	4	4	3	3	3	4	4	3	4	3	4	4	4	4	5	5	5	5	2	3	4	3	4	4	2	4	2	3	3											1	2	2	40	3.0	-9		1	78	6	2	5	3
1242	0	401	11	1	1	3	2011	3	2011	3	1	1	401	2011	3	4	5	4	3	4	2	3	3																									4	1	2		2		2		2		2		2		2		1	5	3	4	5	5	5	4	4	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1				2								2	2	2															4	4	4	3	3	4	4	4	4	3	3	4	4	4	5	5	3	3	5	5	5	3	5	5	4	3	5	2	3	3	1	1											1	1	1	40	6.0		-9	2	91	4	1	5	3
1243	0	321	0	1	1	1	2000	4	2000	4	6	6	302	2010	4	5	5	5	5	4	5	5	4	3	3	2	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3				2	4	2		1	3	2		2		2		2		2		3	3	2	3	2	2	4	2	2	2		2		2		2		2		2		1	4	2		2		2		2		2		2		2		2		3				2								1	1	1	3	3	3	3	3	3									4	3	3	4	4	3	3	3	3	2	2	2	2	3	3	2	2	1	2	3	3	3	4	3	4	2	3	3	3	2	3	3											1		2	40	0.0	-9		1	71	-9	2	6	3
1243	0	321	1	1	1	3	2010	3	2010	3	1	1	303	2010	3	3	3	3	3	3	3	3	3																									4	6	2		1	3	2		2		2		2		2		3	4	4	3	4	4	3	4	4	2		2		2		2		2		2		1	2	2		2		2		2		1	3	2		2		2		3				2								2	2	2															4	4	4	4	4	4	4	4	4	5	4	3	4	4	5	5	3	3	3	4	5	4	3	4	4	3	4	3	4	3	3	4											1	2	2	40	0.0		170	1	82	11	1	6	1
1243	0	321	2	1	1	3	2011	1	2011	1	1	3	308	2011	1	4	4	4	4	4	4	4	4																									4	4	2		1	3	2		2		2		2		2		2	4	4	4	4	4	4	4	3	1	3	2		2		2		2		2		1	3	2		2		2		2		1	4	2		2		2		3				1	2	4060	40	2007	1	3	4	2	3	2															4	5	4	4	4	4	4	4	4	5	4	4	4	4	4	4	3	2	4	4	4	4	3	4	4	4	4	3	4	2	2	3											1	2	2	40	4.0	3000		1	81	10	1	6	1
1243	0	321	3	1	1	3	2008	8	2011	1	1	3	302	2008	8	3	4	4	4	3	3	3	3																									4	4	2		2		2		2		2		2		2		2	3	3	4	3	3	3	1	2	2		2		2		2		2		2		2		2		2		2		2		1	2	2		2		2		3				2								1	1	4															3	3	4	4	4	3	3	2	3	4	4	3	3	4	4	4	4	4	4	4	4	4	2	3	3	4	4	2	3	3	3	2											1	2	2	40	0.0	-9		2	82	3	1	6	4
1243	0	341	0	1	1	1	1993	2	2010	7	1	6	304	1993	2	4	4	4	4	4	4	3	3	3	3	3	3	3	3	2	3	3	5	3	4	2	2	3	4	2	3	3	4	4				4	1	2		1	3	2		2		2		2		2		4	4	4	3	4	4	4	3	3	1	2	2		2		2		2		2		1	4	2		2		2		2		1	3	2		2		2		3				1	20	6040	13	1992	2	4	2	4	2	1	5	4	4	4	4	4									3	3	3	4	4	4	4	3	3	4	3	3	3	4	4	5	3	3	4	4	3	4	3	4	4	4	3	2	3	3	3	3											1		2	40	10.0	-9		1	63	6	2	6	3
1243	0	401	0	1	2	1	2008	6	2011	7	4	5	401	2008	6	4	5	4	4	3	4	3	4	4	4	3	4	4	3	4	2	4	5	4	5	5	3	4	4	4	3	3	4	2				4	2	2		1	4	2		2		2		2		2		6	5	4	4	5	4	4	3	2	1	3	2		2		2		2		2		1	4	2		2		2		2		1	3	2		2		2		3				2								1	3	2	4	4	4	4	4	4									3	3	3	5	4	4	3	4	4	4	3	4	4	4	4	5	5	5	5	4	4	4	3	4	4	4	5	3	4	4	4	5	20	30	10	40	4	3	4	3	4	3	1		2	40	16.0	-9		1	68	6	2	6	3
1243	0	401	1	1	1	3	2011	6	2011	6	3	3	403	2011	6	3	3	3	3	3	4	3	4																									4	1	2		2		2		2		2		2		2		1	3	3	3	3	3	3	3	3	2		2		2		2		2		2		2		2		2		2		2		2		2		2		2		1				1	88	8019	90	2009	7	3	2	2	2	3															3	4	4	4	4	3	3	3	4	3	3	3	3	3	3	5	2	2	2	3	3	4	2	3	4	3	3	1	3	2	4	3											1	2	2	40	10.0		-9	1	80	4	2	6	3
1243	0	701	0	1	3	2	1974	8	1985	7	1	8				4	5	4	5	4	4	4	4																									2	1	2		1	3	2		2		2		2		2		11	4	4	3	4	4	3	3	3	1	2	2		2		2		2		2		1	4	1	4	2		2		2		2		2		2		2		1	1	4	7	2								2	1	1							4	4	4	3	4	4	3	3	3	3	2	4	4	3	3	4	4	5	4	4	3	4	4	4	3	4	5	4	4	4	3	4	3	3	4	4	4	3	3	4											1		1	40	12.0	5000		1	56	1	2	3	
1243	0	701	1	1	3	4	1995	4	1995	4	1	1				5	4	5	5	4	4	4	4																									3	3	2		1	3	2		2		2		2		2		12	5	5	4	3	5	5	3	3	2		2		2		2		2		2		2		1	3	2		2		2		2		2		2		2		1	1	2	5	1	15	1060	15	1994	2	3	2	3	3	4															3	3	3	5	4	3	3	3	4	4	4	3	3	3	5	5	3	3	5	3	3	4	1	4	4	5	4	2	3	3	3	4											1	2	1	40	12.0	4100		1	76	3	2	3	
1243	0	701	1	1	3	4	1985	6	1985	6	1	1				3	5	3	3	3	3	3	3																									4	1	2		2		2		2		2		2		2		1	2	1	4	2	2	2	3	3	2		2		2		2		2		2		1	2	2		2		2		2		2		2		2		2		1	5	2	6	2								1	1	1															2	1	1	2	3	3	3	3	3	3	3	3	4	3	4	4	4	3	5	2	4	1	3	4	2	4	3	2	3	5	5	3											1	2	1	40	12.0	3600		1	65	10	2	4	
1243	0	701	2	1	3	4	1995	8	1995	8	1	1				4	4	4	3	4	3	3	3																									1	7	2		2		2		2		2		2		2		3	3	2	4	3	3	2	3	3	2		2		2		2		2		2		1	2	2		2		2		2		2		2		2		2		1	3	1	5	1	15	1130	14	1993	2	1	4	5	1	2															2	2	3	2	4	3	2	3	3	3	3	2	4	2	3	3	3	3	4	2	3	2	2	2	2	2	4	4	3	3	3	3											1	2	1	40	12.0	4800		1	76	10	2	4	
1243	0	701	2	1	3	4	1983	9	2011	1	1	8				4	4	4	3	4	4	4	4																									5	1	2		1	2	2		2		2		2		2		2	2	2	4	3	2	2	3	4	2		2		2		2		2		2		1	3	2		2		2		2		2		2		2		2		3	1	3	7	1	15	6021	15	1984	2	3	2	4	3	1															3	2	3	4	3	3	3	3	3	4	3	3	3	3	3	4	3	3	4	3	3	4	4	4	3	3	3	4	3	4	2	4											1	2	1	40	12.0	4800		1	65	4	2	3	
1243	0	701	3	1	3	4	1989	3	2009	4	1	8				5	4	5	5	5	5	4	5																									1	1	2		1	3	2		2		2		2		2		2	4	4	3	5	5	5	4	3	2		2		2		2		2		2		2		1	3	2		2		2		2		2		2		2		3	1	3	4	2								2	2	1															5	5	4	5	5	4	4	4	4	5	4	4	4	5	5	5	4	2	4	4	4	4	2	5	4	3	4	4	4	1	2	3											1	2	1	40	20.0	4500		1	66	3	2	3	
